,Country,EdLevel,YearsCodePro,Age,Gender,Salary
374,Canada,Master's Degree,6.0,30.0,Man,68068.0
377,United States of America,Bachelor's Degree,4.0,20.0,Man,74000.0
379,Netherlands,Doctoral Degree,14.0,40.0,Man,118908.0
380,United States of America,Less than a Bachelor's Degree,1.0,30.0,Man,40000.0
382,Canada,Bachelor's Degree,8.0,30.0,Man,71850.0
383,Canada,Bachelor's Degree,14.0,40.0,Man,66934.0
385,Finland,Master's Degree,3.0,30.0,Man,54216.0
390,Peru,Bachelor's Degree,1.0,20.0,Man,19860.0
392,Italy,Bachelor's Degree,8.792445560306254,30.0,Man,19452.0
393,United States of America,Less than a Bachelor's Degree,7.0,30.0,Man,63385.0
396,Switzerland,Less than a Bachelor's Degree,1.0,20.0,Man,54888.0
398,United States of America,Master's Degree,20.0,60.0,Man,108000.0
399,Germany,Less than a Bachelor's Degree,7.0,30.0,Man,58373.0
402,Russian Federation,Master's Degree,20.0,40.0,Man,56616.0
403,Greece,Doctoral Degree,9.0,30.0,Man,45401.0
406,United Kingdom of Great Britain and Northern Ireland,Master's Degree,24.0,50.0,Man,55582.0
409,United Kingdom of Great Britain and Northern Ireland,Bachelor's Degree,27.0,50.0,Man,71093.0
413,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor's Degree,21.0,40.0,Man,60752.0
414,Greece,Less than a Bachelor's Degree,4.0,30.0,Man,25944.0
421,Poland,Less than a Bachelor's Degree,20.0,40.0,Man,30372.0
424,Belgium,Master's Degree,6.0,30.0,Man,29832.0
425,United Arab Emirates,Bachelor's Degree,6.0,30.0,Man,40020.0
429,India,Bachelor's Degree,8.792445560306254,30.0,Man,20100.0
432,United States of America,Doctoral Degree,6.0,40.0,Man,90000.0
433,United States of America,Bachelor's Degree,3.0,20.0,Man,67000.0
434,India,Bachelor's Degree,4.0,30.0,Man,21676.0
435,Switzerland,Master's Degree,16.0,40.0,Man,101649.0
436,Bolivia,Doctoral Degree,4.0,30.0,Man,17352.0
438,Portugal,Master's Degree,7.0,30.0,Man,34380.0
440,Austria,Master's Degree,4.0,30.0,Man,64860.0
441,France,Bachelor's Degree,12.0,40.0,Man,123228.0
450,Russian Federation,Less than a Bachelor's Degree,1.0,30.0,Man,28308.0
456,Italy,Bachelor's Degree,12.0,32.93603200869372,Man,17508.0
458,France,Master's Degree,3.0,30.0,Man,48644.0
459,Sweden,Bachelor's Degree,5.0,30.0,Man,54769.0
460,Poland,Bachelor's Degree,5.0,30.0,Man,45564.0
462,Bangladesh,Bachelor's Degree,7.0,30.0,Man,25428.0
463,United States of America,Master's Degree,12.0,30.0,Man,29000.0
465,Turkey,Bachelor's Degree,3.0,30.0,Woman,19728.0
467,Portugal,Bachelor's Degree,4.0,30.0,Man,24132.0
468,Ukraine,Less than a Bachelor's Degree,6.0,30.0,Man,54804.0
469,United States of America,Bachelor's Degree,4.0,30.0,Man,70000.0
470,South Africa,Bachelor's Degree,8.0,30.0,Man,42432.0
473,United States of America,Less than a Bachelor's Degree,2.0,30.0,Man,40000.0
474,Netherlands,Bachelor's Degree,4.0,20.0,Man,40212.0
475,Canada,Less than a Bachelor's Degree,7.0,30.0,Man,90758.0
476,Pakistan,Bachelor's Degree,4.0,30.0,Man,15408.0
477,United Kingdom of Great Britain and Northern Ireland,Master's Degree,6.0,30.0,Man,54224.0
478,Switzerland,Master's Degree,7.0,30.0,Man,81319.0
481,United States of America,Bachelor's Degree,4.0,40.0,Man,85000.0
482,Germany,Bachelor's Degree,1.0,20.0,Man,64859.0
485,Netherlands,Master's Degree,30.0,60.0,Man,62268.0
487,Canada,Less than a Bachelor's Degree,5.0,20.0,Man,31750.0
489,United States of America,Master's Degree,2.0,30.0,Man,100000.0
491,United States of America,Bachelor's Degree,3.0,20.0,Man,92000.0
492,Spain,Bachelor's Degree,4.0,30.0,Man,34591.0
493,Switzerland,Less than a Bachelor's Degree,10.0,40.0,Man,92500.0
494,United States of America,Master's Degree,12.0,30.0,Man,135000.0
495,United Kingdom of Great Britain and Northern Ireland,Bachelor's Degree,5.0,30.0,Man,71093.0
498,"Iran, Islamic Republic of...",Bachelor's Degree,5.0,20.0,Man,42756.0
500,United States of America,Bachelor's Degree,19.0,40.0,Man,65000.0
503,Spain,Doctoral Degree,20.0,40.0,Man,64859.0
504,Ireland,Bachelor's Degree,15.0,50.0,Man,48644.0
509,India,Less than a Bachelor's Degree,10.0,30.0,Man,16416.0
512,Italy,Bachelor's Degree,3.0,30.0,Man,35672.0
514,Belgium,Master's Degree,7.0,30.0,Man,64860.0
516,Germany,Bachelor's Degree,3.0,30.0,Man,59454.0
518,France,Master's Degree,9.0,30.0,Man,45396.0
523,Lebanon,Bachelor's Degree,2.0,20.0,Woman,22212.0
524,Ukraine,Bachelor's Degree,11.0,30.0,Man,60000.0
526,United States of America,Doctoral Degree,35.0,50.0,Man,110000.0
528,Ukraine,Bachelor's Degree,9.0,30.0,Man,53832.0
532,Turkey,Master's Degree,2.0,30.0,Man,18080.0
533,Germany,Bachelor's Degree,3.0,30.0,Man,31128.0
534,Brazil,Bachelor's Degree,12.0,30.0,Man,96204.0
536,France,Master's Degree,6.0,30.0,Man,88640.0
538,Spain,Less than a Bachelor's Degree,2.0,20.0,Man,20539.0
540,United Kingdom of Great Britain and Northern Ireland,Doctoral Degree,10.0,40.0,Man,49765.0
541,France,Master's Degree,10.0,30.0,Man,48644.0
544,United States of America,Bachelor's Degree,8.0,30.0,Man,57765.0
545,United States of America,Bachelor's Degree,3.0,30.0,Man,40000.0
